wrinklers,buff_cycles,buff_percent,time_for_cycles_s,time_left_clicking_s,total_clicks,cookies_during_buff,final_cookies
5,13,1300,3.25,6.75,675.0,7087.5,15060.9375
5,14,1400,3.5,6.5,650.0,7312.5,15539.0625
5,15,1500,3.75,6.25,625.0,7500.0,15937.5
5,16,1600,4.0,6.0,600.0,7650.0,16256.25
5,17,1700,4.25,5.75,575.0,7762.5,16495.3125
5,18,1800,4.5,5.5,550.0,7837.5,16654.6875
5,19,1900,4.75,5.25,525.0,7875.0,16734.375
5,20,2000,5.0,5.0,500.0,7875.0,16734.375
5,21,2100,5.25,4.75,475.0,7837.5,16654.6875
5,22,2200,5.5,4.5,450.0,7762.5,16495.3125
5,23,2300,5.75,4.25,425.0,7650.0,16256.25
5,24,2400,6.0,4.0,400.0,7500.0,15937.5
5,25,2500,6.25,3.75,375.0,7312.5,15539.0625
5,26,2600,6.5,3.5,350.0,7087.5,15060.9375
5,27,2700,6.75,3.25,325.0,6825.0,14503.125
5,28,2800,7.0,3.0,300.0,6525.0,13865.625
5,29,2900,7.25,2.75,275.0,6187.5,13148.4375
5,30,3000,7.5,2.5,250.0,5812.5,12351.5625
5,31,3100,7.75,2.25,225.0,5400.0,11475.0
5,32,3200,8.0,2.0,200.0,4950.0,10518.75
5,33,3300,8.25,1.75,175.0,4462.5,9482.8125
5,34,3400,8.5,1.5,150.0,3937.5,8367.1875
5,35,3500,8.75,1.25,125.0,3375.0,7171.875
5,36,3600,9.0,1.0,100.0,2775.0,5896.875
5,37,3700,9.25,0.75,75.0,2137.5,4542.1875
5,38,3800,9.5,0.5,50.0,1462.5,3107.8125
5,39,3900,9.75,0.25,25.0,750.0,1593.75
5,40,4000,10.0,0.0,0.0,0.0,0.0
6,1,100,0.25,9.75,975.0,1365.0,3658.2
6,2,200,0.5,9.5,950.0,1995.0,5346.599999999999
6,3,300,0.75,9.25,925.0,2590.0,6941.199999999999
6,4,400,1.0,9.0,900.0,3150.0,8442.0
6,5,500,1.25,8.75,875.0,3675.0,9848.999999999998
6,6,600,1.5,8.5,850.0,4165.0,11162.199999999999
6,7,700,1.75,8.25,825.0,4620.0,12381.599999999999
6,8,800,2.0,8.0,800.0,5040.0,13507.199999999999
6,9,900,2.25,7.75,775.0,5425.0,14538.999999999998
6,10,1000,2.5,7.5,750.0,5775.0,15476.999999999998
6,11,1100,2.75,7.25,725.0,6089.999999999999,16321.199999999995
6,12,1200,3.0,7.0,700.0,6369.999999999999,17071.599999999995
6,13,1300,3.25,6.75,675.0,6614.999999999999,17728.199999999997
6,14,1400,3.5,6.5,650.0,6824.999999999999,18290.999999999996
6,15,1500,3.75,6.25,625.0,7000.0,18759.999999999996
6,16,1600,4.0,6.0,600.0,7140.0,19135.199999999997
6,17,1700,4.25,5.75,575.0,7245.0,19416.6
6,18,1800,4.5,5.5,550.0,7315.0,19604.199999999997
6,19,1900,4.75,5.25,525.0,7350.0,19697.999999999996
6,20,2000,5.0,5.0,500.0,7350.0,19697.999999999996
6,21,2100,5.25,4.75,475.0,7315.0,19604.199999999997
6,22,2200,5.5,4.5,450.0,7245.0,19416.6
6,23,2300,5.75,4.25,425.0,7140.0,19135.199999999997
6,24,2400,6.0,4.0,400.0,7000.0,18759.999999999996
6,25,2500,6.25,3.75,375.0,6825.0,18290.999999999996
6,26,2600,6.5,3.5,350.0,6614.999999999999,17728.199999999997
6,27,2700,6.75,3.25,325.0,6369.999999999999,17071.599999999995
6,28,2800,7.0,3.0,300.0,6090.0,16321.199999999999
6,29,2900,7.25,2.75,275.0,5775.0,15476.999999999998
6,30,3000,7.5,2.5,250.0,5425.0,14538.999999999998
6,31,3100,7.75,2.25,225.0,5040.0,13507.199999999999
6,32,3200,8.0,2.0,200.0,4620.0,12381.599999999999
6,33,3300,8.25,1.75,175.0,4164.999999999999,11162.199999999997
6,34,3400,8.5,1.5,150.0,3675.0,9848.999999999998
6,35,3500,8.75,1.25,125.0,3150.0,8442.0
6,36,3600,9.0,1.0,100.0,2590.0,6941.199999999999
6,37,3700,9.25,0.75,75.0,1995.0,5346.599999999999
6,38,3800,9.5,0.5,50.0,1365.0,3658.2
6,39,3900,9.75,0.25,25.0,700.0,1875.9999999999998
6,40,4000,10.0,0.0,0.0,0.0,0.0
7,1,100,0.25,9.75,975.0,1267.4999999999998,4239.7874999999985
7,2,200,0.5,9.5,950.0,1852.4999999999995,6196.612499999998
7,3,300,0.75,9.25,925.0,2404.9999999999995,8044.724999999998
7,4,400,1.0,9.0,900.0,2924.9999999999995,9784.124999999998
7,5,500,1.25,8.75,875.0,3412.499999999999,11414.812499999996
7,6,600,1.5,8.5,850.0,3867.499999999999,12936.787499999997
7,7,700,1.75,8.25,825.0,4289.999999999999,14350.049999999996
7,8,800,2.0,8.0,800.0,4679.999999999999,15654.599999999995
7,9,900,2.25,7.75,775.0,5037.499999999999,16850.437499999996
7,10,1000,2.5,7.5,750.0,5362.499999999999,17937.562499999996
7,11,1100,2.75,7.25,725.0,5654.999999999999,18915.974999999995
7,12,1200,3.0,7.0,700.0,5914.999999999999,19785.674999999996
7,13,1300,3.25,6.75,675.0,6142.499999999999,20546.662499999995
7,14,1400,3.5,6.5,650.0,6337.499999999999,21198.937499999996
7,15,1500,3.75,6.25,625.0,6499.999999999999,21742.499999999996
7,16,1600,4.0,6.0,600.0,6629.999999999999,22177.349999999995
7,17,1700,4.25,5.75,575.0,6727.499999999999,22503.487499999996
7,18,1800,4.5,5.5,550.0,6792.499999999999,22720.912499999995
7,19,1900,4.75,5.25,525.0,6824.999999999999,22829.624999999996
7,20,2000,5.0,5.0,500.0,6824.999999999999,22829.624999999996
7,21,2100,5.25,4.75,475.0,6792.499999999999,22720.912499999995
7,22,2200,5.5,4.5,450.0,6727.499999999999,22503.487499999996
7,23,2300,5.75,4.25,425.0,6629.999999999998,22177.34999999999
7,24,2400,6.0,4.0,400.0,6499.999999999998,21742.499999999993
7,25,2500,6.25,3.75,375.0,6337.499999999999,21198.937499999996
7,26,2600,6.5,3.5,350.0,6142.499999999999,20546.662499999995
7,27,2700,6.75,3.25,325.0,5914.999999999999,19785.674999999996
7,28,2800,7.0,3.0,300.0,5654.999999999999,18915.974999999995
7,29,2900,7.25,2.75,275.0,5362.499999999999,17937.562499999996
7,30,3000,7.5,2.5,250.0,5037.499999999999,16850.437499999996
7,31,3100,7.75,2.25,225.0,4679.999999999999,15654.599999999995
7,32,3200,8.0,2.0,200.0,4289.999999999999,14350.049999999996
7,33,3300,8.25,1.75,175.0,3867.4999999999995,12936.787499999997
7,34,3400,8.5,1.5,150.0,3412.4999999999995,11414.812499999998
7,35,3500,8.75,1.25,125.0,2924.9999999999995,9784.124999999998
7,36,3600,9.0,1.0,100.0,2404.9999999999995,8044.724999999998
7,37,3700,9.25,0.75,75.0,1852.4999999999998,6196.612499999998
7,38,3800,9.5,0.5,50.0,1267.4999999999998,4239.7874999999985
7,39,3900,9.75,0.25,25.0,649.9999999999999,2174.2499999999995
7,40,4000,10.0,0.0,0.0,0.0,0.0
8,1,100,0.25,9.75,975.0,1170.0,4820.400000000001
8,2,200,0.5,9.5,950.0,1710.0,7045.2
8,3,300,0.75,9.25,925.0,2220.0,9146.4
8,4,400,1.0,9.0,900.0,2700.0,11124.0
8,5,500,1.25,8.75,875.0,3150.0,12978.0
8,6,600,1.5,8.5,850.0,3570.0,14708.4
8,7,700,1.75,8.25,825.0,3960.0,16315.2
8,8,800,2.0,8.0,800.0,4320.0,17798.4
8,9,900,2.25,7.75,775.0,4650.0,19158.0
8,10,1000,2.5,7.5,750.0,4950.0,20394.0
8,11,1100,2.75,7.25,725.0,5220.0,21506.4
8,12,1200,3.0,7.0,700.0,5460.0,22495.2
8,13,1300,3.25,6.75,675.0,5670.0,23360.4
8,14,1400,3.5,6.5,650.0,5850.0,24102.0
8,15,1500,3.75,6.25,625.0,6000.0,24720.0
8,16,1600,4.0,6.0,600.0,6120.0,25214.4
8,17,1700,4.25,5.75,575.0,6210.0,25585.2
